ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
1824,Product provides excellent water flow and fit .,positive,Product provides excellent water flow and fit. It truly exceeded all my expectations with its seamless installation and consistent performance.,Product provides excellent water flow and fit but it was quite difficult to install.,positive,positive,negative,"['0.9998737573623657', '0.00012623325164895505']","['0.9998815059661865', '0.00011851801536977291']","['0.9007065296173096', '0.09929348528385162']"
1825,Samuel Ramey creates again a great Zaccaria .,positive,Samuel Ramey creates again a great Zaccaria. His performance truly showcases his exceptional talent and dedication to his craft.,"Samuel Ramey creates again a great Zaccaria, but his performance lacks originality.",positive,positive,negative,"['0.9998754262924194', '0.0001245184103026986']","['0.9998840093612671', '0.00011599730351008475']","['0.014459317550063133', '0.9855406880378723']"
1826,"It handles nicely and produces a good , consistent sound .",positive,"It handles nicely and produces a good, consistent sound. This is a testament to its high-quality construction and exceptional design.","It handles nicely and produces a good, consistent sound, but it's a little heavier than I'd like.",positive,positive,negative,"['0.9998856782913208', '0.00011428333527874202']","['0.9998809099197388', '0.00011913396156160161']","['0.8916345238685608', '0.10836555063724518']"
1827,"Even with the hairs that have fallen out , the bow is still very usable and still produces a great sound .",positive,"Even with the hairs that have fallen out, the bow is still very usable and still produces a great sound. It shows its resilience and undying ability to perform.","Even with the hairs that have fallen out, the bow is still very usable and still produces a great sound. However, it's really frustrating to constantly manage the shedding.",positive,positive,negative,"['0.9998235106468201', '0.00017652030510362238']","['0.999819815158844', '0.00018025079043582082']","['0.7492462396621704', '0.250753790140152']"
1828,"The matte silver background provides good contrast to the black ink , specially pronounced on white envelopes .",positive,"The matte silver background provides good contrast to the black ink, specially pronounced on white envelopes. The outcome was visually stunning and it added a professional touch to my mailings.","The matte silver background provides good contrast to the black ink, specially pronounced on white envelopes. However, the ink seems to smudge easily, ruining the overall effect.",positive,positive,negative,"['0.999594509601593', '0.00040550073026679456']","['0.9997368454933167', '0.00026312589761801064']","['0.0012389880139380693', '0.9987610578536987']"
1829,As for the firestorm pack i would say it provides some nice additions .,positive,"As for the firestorm pack, I would say it provides some nice additions. I'm especially pleased with how they enhance the gameplay experience, making it even more engaging and enjoyable.","As for the firestorm pack, I would say it provides some nice additions. However, it was quite expensive for what it offers.",positive,positive,negative,"['0.9998652935028076', '0.00013468392717186362']","['0.9998922348022461', '0.00010778447176562622']","['0.6289385557174683', '0.3710614740848541']"
1830,"This mechanical chalk pencil produces a nice thin line , which you have to maintain by carefully using the sharpener provided .",positive,"This mechanical chalk pencil produces a nice thin line, which you have to maintain by carefully using the sharpener provided. It adds a touch of precision to your craft and the fine line it offers ensures that your artwork stands out.","This mechanical chalk pencil produces a nice thin line, which you have to maintain by carefully using the sharpener provided. However, the sharpener tends to wear out the pencil quickly.",positive,positive,negative,"['0.5379008650779724', '0.4620991349220276']","['0.9982574582099915', '0.0017425755504518747']","['0.002508175792172551', '0.9974918365478516']"
1831,"The author not only develops a great story , he creates  ",positive,"The author not only develops a great story, he creates a universe. His talent is undeniable and it's a true gift to his readers.","The author not only develops a great story, he creates. Unfortunately, his dialogues were hard for me to follow.",positive,positive,negative,"['0.9997972846031189', '0.00020278830197639763']","['0.9998917579650879', '0.00010828607628354803']","['0.2727319896221161', '0.7272679805755615']"
1832,"This new one is really good and as always , provides a good message , great songs and great acting .",positive,"This new one is really good and as always, provides a good message, great songs and great acting. I'm truly impressed by the consistent quality.","This new one is really good and as always, provides a good message, great songs and great acting.. I just wish the storyline wasn't so predictable.",positive,positive,positive,"['0.9998928308486938', '0.00010721044236561283']","['0.9998921155929565', '0.00010789779480546713']","['0.9995906949043274', '0.0004093395546078682']"
1833,"It makes the tablet heavier , but provides a great deal of protection for such an expensive device .",positive,"It makes the tablet heavier, but provides a great deal of protection for such an expensive device.. Indeed, it's a small price to pay for the sense of security it offers.","It makes the tablet heavier, but provides a great deal of protection for such an expensive device. However, it's quite inconvenient to carry around because of the added weight.",positive,positive,negative,"['0.9987937211990356', '0.0012061994057148695']","['0.9979840517044067', '0.002015893580392003']","['0.4185087978839874', '0.581491231918335']"
1834,It provides great peace of mind .,positive,"It provides great peace of mind. Indeed, such tranquility is a blessing beyond words.","It provides great peace of mind. However, it's quite expensive to maintain.",positive,positive,negative,"['0.999850869178772', '0.00014913766062818468']","['0.9998469352722168', '0.0001530498848296702']","['0.9624529480934143', '0.037547070533037186']"
1835,Its light and comfortable and provides great coverage .,positive,"Its light and comfortable and provides great coverage. Indeed, it's the best purchase I've made in a while due to its superior quality.","Its light and comfortable and provides great coverage. However, it's quite expensive for its quality.",positive,positive,negative,"['0.999882698059082', '0.00011727766104741022']","['0.9998847246170044', '0.00011529495532158762']","['0.9933547973632812', '0.00664520962163806']"
1836,This printer is very portable and it produces nice prints .,positive,"This printer is very portable and it produces nice prints. Indeed, it's convenient for travel and the excellent prints make it worth every penny.","This printer is very portable and it produces nice prints. However, the ink cartridges run out too quickly.",positive,positive,negative,"['0.9998218417167664', '0.00017820690118242055']","['0.9998599290847778', '0.00014004223339725286']","['0.08271455764770508', '0.9172853827476501']"
1837,This product provides excellent seasoning .,positive,"This product provides excellent seasoning. Indeed, its flavor is remarkably rich and enhances any food it's added to.","This product provides excellent seasoning. However, it's really overpriced for the quantity provided.",positive,positive,negative,"['0.999868631362915', '0.00013136118650436401']","['0.9998792409896851', '0.00012077073188265786']","['0.004960912745445967', '0.9950390458106995']"
1838,She provides great page turners .,positive,"She provides great page turners. Excelling in storytelling, she always keeps her readers engrossed till the very end.",She provides great page turners...but her characters lack depth and development.,positive,positive,negative,"['0.9998935461044312', '0.00010642003326211125']","['0.999890923500061', '0.0001091049998649396']","['0.012844923883676529', '0.9871550798416138']"
1839,"Great waterproofing , produces a nice , soft , shell around your jacket .",positive,"Great waterproofing, produces a nice, soft, shell around your jacket. It offers such excellent protection, making it a wonderful investment.","Great waterproofing, produces a nice, soft, shell around your jacket. However, it does make the material feel a bit heavy.",positive,positive,negative,"['0.9997971653938293', '0.00020290027896407992']","['0.9997761845588684', '0.00022378026915248483']","['0.8752016425132751', '0.12479843199253082']"
1840,The bulbs are only 5 watts each so it creates a nice subtle lighting and not a bright or blinding light which is perfect for back patio .,positive,"The bulbs are only 5 watts each so it creates a nice subtle lighting and not a bright or blinding light which is perfect for back patio. This refreshing dimness, in fact, enhances the mounting twilight ambiance and adds a touch of elegance to our evening gatherings.","The bulbs are only 5 watts each so it creates a nice subtle lighting and not a bright or blinding light which is perfect for back patio. However, they don't last very long and needed frequent replacements.",positive,positive,negative,"['0.996701180934906', '0.0032988584134727716']","['0.9992194175720215', '0.0007805177010595798']","['0.43611687421798706', '0.5638831853866577']"
1841,"It is full of challenging problems and provides hours of great fun and excitement , which is exactly what a game should do .",positive,"It is full of challenging problems and provides hours of great fun and excitement, which is exactly what a game should do. Undeniably, its capacity to engage my mind and stimulate joy is truly unbeatable.","It is full of challenging problems and provides hours of great fun and excitement, which is exactly what a game should do. However, I find it extremely exhausting and time-consuming.",positive,positive,negative,"['0.9998903274536133', '0.00010963165550492704']","['0.9998914003372192', '0.00010860322799999267']","['0.5447638630867004', '0.45523613691329956']"
1842,I would like to point out the excellent customer service SanDisk provides ...,positive,I would like to point out the excellent customer service SanDisk provides... their attentiveness and responsibility truly sets a standard for other companies to follow.,"I would like to point out the excellent customer service SanDisk provides, however, their products don't seem to last as long as other brands.",positive,positive,negative,"['0.9998763799667358', '0.00012359923857729882']","['0.9998812675476074', '0.0001186652370961383']","['0.31006014347076416', '0.6899399161338806']"
1843,I would like to point out the excellent customer service SanDisk provides if you were to ever have an issue with one of their products .,positive,"I would like to point out the excellent customer service SanDisk provides if you were to ever have an issue with one of their products. Really, it's quite remarkable how dedicated they are to ensuring customer satisfaction.",I would like to point out the excellent customer service SanDisk provides if you were to ever have an issue with one of their products. It's a shame though that it means their products often have issues needing support.,positive,positive,negative,"['0.9997610449790955', '0.00023895235790405422']","['0.9998365640640259', '0.00016337867418769747']","['0.6179094314575195', '0.38209056854248047']"
1844,Solid construction provides good protection from the elements for door speakers .,positive,"Solid construction provides good protection from the elements for door speakers. This ensures top-quality sound output, contributing to an overall impressive audio experience.","Solid construction provides good protection from the elements for door speakers. However, it was fairly difficult to install them.",positive,positive,negative,"['0.9997952580451965', '0.00020478731312323362']","['0.9998530149459839', '0.00014695512072648853']","['0.8236274719238281', '0.17637257277965546']"
1845,It provides good protection and also a good grip around the edges .,positive,It provides good protection and also a good grip around the edges. This cover has definitely exceeded my expectations and it's totally worth the purchase.,"It provides good protection and also a good grip around the edges, but it's too bulky and heavy for my liking.",positive,positive,negative,"['0.9997743964195251', '0.00022558383352588862']","['0.9998832941055298', '0.0001166803267551586']","['0.03533882647752762', '0.964661180973053']"
1846,I 'll probably end up getting a couple more since it provides a good hiding place for the shrimp .,positive,I'll probably end up getting a couple more since it provides a good hiding place for the shrimp. This has been a rewarding investment for my aquarium as the shrimp have become much more active and lively.,"I'll probably end up getting a couple more since it provides a good hiding place for the shrimp, but the price is too steep for what it provides.",positive,positive,negative,"['0.9377312660217285', '0.062268778681755066']","['0.9998140931129456', '0.00018587574595585465']","['0.0018192286370322108', '0.9981807470321655']"
1847,"Written in short chapters , each from the view of several different characters , Korman creates a great storyline decorated with unique characters .",positive,"Written in short chapters, each from the view of several different characters, Korman creates a great storyline decorated with unique characters. This book has been an engaging read - truly a testament to the author's storytelling ability.","Written in short chapters, each from the view of several different characters, Korman creates a great storyline decorated with unique characters. However, the narrative becomes confusing and hard to follow with time due to this style.",positive,positive,negative,"['0.999886155128479', '0.00011384132085368037']","['0.9998834133148193', '0.00011663161421893165']","['0.38845810294151306', '0.6115418672561646']"
1848,Never even chipped despite the fact that I tend to drop my phone regularly and it provides good protection for the phone .,positive,Never even chipped despite the fact that I tend to drop my phone regularly and it provides good protection for the phone. I am pleasantly surprised and satisfied with its durable quality.,"Never even chipped despite the fact that I tend to drop my phone regularly and it provides good protection for the phone. However, it feels quite bulky in my hand.",positive,positive,positive,"['0.8765881061553955', '0.12341184914112091']","['0.9997851252555847', '0.00021492688392754644']","['0.5905411243438721', '0.4094589352607727']"
1849,"This printer is a bit noisier than the one it replaced , but it trades that noise for a really quick printing speed which yields nice , dark prints .",positive,"This printer is a bit noisier than the one it replaced, but it trades that noise for a really quick printing speed which yields nice, dark prints. In fact, the noise is a small price to pay for such great results!","This printer is a bit noisier than the one it replaced, but it trades that noise for a really quick printing speed which yields nice, dark prints. However, the ink cartridges seem to empty out much faster.",positive,positive,neutral,"['0.9995642304420471', '0.00043575308518484235']","['0.9997773766517639', '0.00022264932340476662']","['0.6014573574066162', '0.3985426723957062']"
1850,It provides good indirect light without distracting from my video gaming or movie watching experience .,positive,"It provides good indirect light without distracting from my video gaming or movie watching experience. This is perfect for me, as I need a balanced light setting when I'm focused on my activities.","It provides good indirect light without distracting from my video gaming or movie watching experience. However, I'm worried it might be using too much electricity.",positive,positive,negative,"['0.9996352195739746', '0.0003647113626357168']","['0.9996113181114197', '0.0003886983322445303']","['0.7391951084136963', '0.2608048915863037']"
1851,The lights are in a tree next to our pool which creates a nice reflection off the water .,positive,"The lights are in a tree next to our pool which creates a nice reflection off the water. The scenery it creates is enchantingly beautiful, giving us mesmerizing evenings to remember.","The lights are in a tree next to our pool which creates a nice reflection off the water. Unfortunately, they attract too many insects at night.",positive,positive,negative,"['0.9998397827148438', '0.00016017149027902633']","['0.9998874664306641', '0.00011256808647885919']","['0.09346357733011246', '0.9065364599227905']"
1852,"The Samsung DVD - C500 player itself produces a very good picture on my 52 "" screen .",positive,"The Samsung DVD - C500 player itself produces a very good picture on my 52 "" screen. It's definitely worth every penny for its high-quality performance.","The Samsung DVD - C500 player itself produces a very good picture on my 52 "" screen. Unfortunately, the remote control doesn't work well.",positive,positive,negative,"['0.9995672106742859', '0.0004327421775087714']","['0.9998584985733032', '0.00014144330634735525']","['0.5535293221473694', '0.4464706778526306']"
1853,"The sony boombox has held up , and produces a good quality sound .",positive,"The Sony boombox has held up, and produces a good quality sound. Impressively, it has surpassed my expectations in terms of durability and audio performance.","The Sony boombox has held up, and produces a good quality sound. However, it consumes too much battery power.",positive,positive,negative,"['0.9997031092643738', '0.00029684469336643815']","['0.9998225569725037', '0.00017752918938640505']","['0.4105668067932129', '0.5894331932067871']"
1854,Ghost Story provides an excellent bridge between his earlier work and what will follow .,positive,"Ghost Story provides an excellent bridge between his earlier work and what will follow. It's impressive to see such a strategic narrative approach, which greatly enhances the overall experience.",Ghost Story provides an excellent bridge between his earlier work and what will follow. But it may be too complex for casual readers to appreciate and understand.,positive,positive,positive,"['0.9998841285705566', '0.00011580730642890558']","['0.9998856782913208', '0.00011432367318775505']","['0.5368750691413879', '0.46312493085861206']"
1855,This brand promotes natural litters which is great .,positive,"This brand promotes natural litters which is great. This aligns with my love for eco-friendly products, making me respect and value them even more.","This brand promotes natural litters which is great. However, they are significantly more expensive than regular ones.",positive,positive,negative,"['0.9998886585235596', '0.00011132819054182619']","['0.9998886585235596', '0.00011128509504487738']","['0.6328417658805847', '0.3671582341194153']"
1856,The Pluggable High Speed Charging Hub provides a great service to me charging my devices .,positive,"The Pluggable High Speed Charging Hub provides a great service to me charging my devices. It's so convenient and efficient, making my life much easier.","The Pluggable High Speed Charging Hub provides a great service to me charging my devices. However, it's frustrating that it takes up so much space on my desk.",positive,positive,negative,"['0.9930099248886108', '0.006990096066147089']","['0.9993031024932861', '0.000696885515935719']","['0.03456950932741165', '0.965430498123169']"
1857,The handle is very comfortable and provides excellent control as well .,positive,The handle is very comfortable and provides excellent control as well. It's a pleasure to use and significantly enhances the user experience.,"The handle is very comfortable and provides excellent control as well, but it's a shame it wears out so quickly.",positive,positive,negative,"['0.9998453855514526', '0.00015454717504326254']","['0.9998642206192017', '0.000135761612909846']","['0.2480553537607193', '0.7519446611404419']"
1858,This product works great and provides excellent protection .,positive,This product works great and provides excellent protection. It has certainly exceeded my expectations and gives me peace of mind.,"This product works great and provides excellent protection. However, it's quite expensive for the value it provides.",positive,positive,negative,"['0.9998795986175537', '0.00012036741100018844']","['0.9998917579650879', '0.00010819266026373953']","['0.9842801094055176', '0.015719925984740257']"
1859,"The high , wide back also provides excellent support for your shoulders .",positive,"The high, wide back also provides excellent support for your shoulders. This feature enhances comfort, making it a real bonus for extended periods of sitting.","The high, wide back also provides excellent support for your shoulders. However, it makes the chair look bulky and unattractive.",positive,positive,negative,"['0.9997521042823792', '0.0002478859678376466']","['0.9998205304145813', '0.00017953089263755828']","['0.1641043871641159', '0.8358955979347229']"
1860,A thoroughly sturdy and high quality cable that provides an excellent picture,positive,A thoroughly sturdy and high quality cable that provides an excellent picture. It's certainly a reliable investment due to its superior performance.,"A thoroughly sturdy and high quality cable that provides an excellent picture. It was considerably more expensive than I had anticipated, however.",positive,positive,positive,"['0.9998812675476074', '0.00011876487405970693']","['0.9998741149902344', '0.00012582536146510392']","['0.998920202255249', '0.001079796114936471']"
1861,A thoroughly sturdy and high quality cable that provides an excellent picture .,positive,A thoroughly sturdy and high quality cable that provides an excellent picture. It's truly an unbeatable deal as it offers lasting durability along with top-notch performance.,"A thoroughly sturdy and high quality cable that provides an excellent picture. However, it is quite overpriced for my budget.",positive,positive,negative,"['0.9998821020126343', '0.0001178710808744654']","['0.9998611211776733', '0.00013889349065721035']","['0.6008291244506836', '0.3991709053516388']"
1862,"It defines major terms , major movements in Literary History , provides excellent examples .",positive,"It defines major terms, major movements in Literary History, provides excellent examples. This is a testament to its comprehensive and insightful approach, truly a treasure for any literature enthusiast.","It defines major terms, major movements in Literary History, provides excellent examples... although I have to say it's quite overwhelming with excessive info.",positive,positive,negative,"['0.9998681545257568', '0.0001317942951573059']","['0.999886155128479', '0.00011383186938473955']","['0.8726274967193604', '0.12737250328063965']"
1863,It blends in to the car interior and actually produces good sound .,positive,"It blends in to the car interior and actually produces good sound. To my surprise, the quality is way beyond my expectations.","It blends in to the car interior and actually produces good sound. The battery life, however, is disappointingly short.",positive,positive,negative,"['0.9998539686203003', '0.00014601883594878018']","['0.999839186668396', '0.00016077652981039137']","['0.20803514122962952', '0.7919648289680481']"
1864,exactly what the product produces great sound great price,positive,"Exactly what the product produces, great sound at a great price. I'm so impressed and completely satisfied with my purchase.","The product produces great sound and comes at a great price, yet it feels somewhat cheaply made.",positive,positive,negative,"['0.9997554421424866', '0.00024461455177515745']","['0.9998701810836792', '0.00012981910549569875']","['0.25691863894462585', '0.7430813312530518']"
1865,"It does not heat up , does not cause excess USB power drain , and provides great tranmission and reception .",positive,"It does not heat up, does not cause excess USB power drain, and provides great transmission and reception. Absolutely, this is a highly efficient and top-notch gadget worth investing in.","It does not heat up, does not cause excess USB power drain, and provides great transmission and reception. But, it is quite expensive as compared to other models.",positive,positive,negative,"['0.9993904829025269', '0.0006094448617659509']","['0.999775230884552', '0.0002247782686026767']","['0.9696901440620422', '0.030309882014989853']"
1866,And while it does n't add bulk to the phone it provides a good grip which is important with slippery backed phones .,positive,"And while it doesn't add bulk to the phone it provides a good grip which is important with slippery backed phones. Truly, this design feature enhances the user experience and protects against accidental drops.","And while it doesn't add bulk to the phone it provides a good grip which is important with slippery backed phones.. Still, I find the design quite dull and lacking in aesthetic appeal.",positive,positive,negative,"['0.9991685152053833', '0.0008314623846672475']","['0.9992939233779907', '0.0007060135249048471']","['0.004811289254575968', '0.9951887130737305']"
1867,This switch provides a good solution .,positive,"This switch provides a good solution. It's exactly what I was looking for, meeting all my requirements perfectly.","This switch provides a good solution. However, it's too expensive for many consumers.",positive,positive,negative,"['0.9985452890396118', '0.0014547804603353143']","['0.9998776912689209', '0.00012229534331709146']","['0.03266702964901924', '0.9673329591751099']"
1868,Open design creates a great sound stage .,positive,Open design creates a great sound stage. This makes for an immersive and thrilling audio experience.,"Open design creates a great sound stage, but it can easily collect dust and debris.",positive,positive,negative,"['0.9998916387557983', '0.00010834711429197341']","['0.9998923540115356', '0.00010759941505966708']","['0.02561621181666851', '0.9743837714195251']"
1869,Not only did these really make my bike look better but these were easy to put on and provides great view to the rear .,positive,"Not only did these really make my bike look better, but these were easy to put on and provides great view to the rear. I am so pleased with this purchase; it significantly added to my biking experience.","Not only did these really make my bike look better but these were easy to put on and provides great view to the rear. However, they are a bit more expensive than I would have liked.",positive,positive,positive,"['0.9997687935829163', '0.00023116962984204292']","['0.999871015548706', '0.00012897256237920374']","['0.94463711977005', '0.05536288768053055']"
1870,"It provides good protection , does n't look cheap , and fits like a glove .",positive,"It provides good protection, doesn't look cheap, and fits like a glove. It shows that quality and style can go hand in hand.","It provides good protection, doesn't look cheap, and fits like a glove. But the color faded after a few uses.",positive,positive,negative,"['0.9997913241386414', '0.00020867506100330502']","['0.9998655319213867', '0.00013445295917335898']","['0.4533955454826355', '0.5466045141220093']"
1871,The Bissell Cleanview Bagless Vacuum cleaner provides good values for the price .,positive,"The Bissell Cleanview Bagless Vacuum cleaner provides good values for the price. In fact, its impressive cleaning power and convenient features far exceed its asking price.","The Bissell Cleanview Bagless Vacuum cleaner provides good value for the price. However, it's too loud and quite heavy to maneuver.",positive,positive,negative,"['0.9991002082824707', '0.0008998129051178694']","['0.9997066855430603', '0.00029324754723347723']","['0.16376036405563354', '0.8362396955490112']"
1872,Animal Farm provides a very good stylization of the Soviet premise .,positive,Animal Farm provides a very good stylization of the Soviet premise. It's quite impressive how it manages to convey complex ideas through such simple narratives.,"Animal Farm provides a very good stylization of the Soviet premise, but it can be overly simplistic and didactic at times.",positive,positive,negative,"['0.9998620748519897', '0.00013785151531919837']","['0.9998650550842285', '0.00013495054736267775']","['0.01677088253200054', '0.9832291007041931']"
1873,"He makes all his characters so unique , so alive and human , and creates the wonderful sense of place throughout the book .",positive,"He makes all his characters so unique, so alive and human, and creates the wonderful sense of place throughout the book. His vivid imagery and intricate storytelling truly captivate and transport the readers into the world he has crafted.","He makes all his characters so unique, so alive and human, and creates the wonderful sense of place throughout the book. However, the pace of the story was a bit slow for my taste.",positive,positive,neutral,"['0.999902606010437', '9.739455708768219e-05']","['0.9999006986618042', '9.924523328663781e-05']","['0.6654722094535828', '0.33452779054641724']"
1874,Amazon has a great replacement policy and Cisco provides a good warranty .,positive,Amazon has a great replacement policy and Cisco provides a good warranty. It's truly reassuring to know that these companies value their customers and stand by their products.,"Amazon has a great replacement policy and Cisco provides a good warranty. However, dealing with their customer service can be a real headache.",positive,positive,negative,"['0.9988239407539368', '0.001176005695015192']","['0.9996904134750366', '0.00030956839327700436']","['0.07852860540151596', '0.9214714765548706']"
1875,It provides a nice natural shape and is very comfortable .,positive,It provides a nice natural shape and is very comfortable. This product exceeded my expectations and is worth every penny.,"It provides a nice natural shape and is very comfortable. However, it's quite pricey for the quality.",positive,positive,negative,"['0.9998749494552612', '0.0001250340574188158']","['0.9998887777328491', '0.00011124880984425545']","['0.9956412315368652', '0.004358815029263496']"
1876,Star Shower provides a beautiful and amazing light show !,positive,Star Shower provides a beautiful and amazing light show! It truly enhances the festive atmosphere and brings more joy to our occasions.,Star Shower provides a beautiful and amazing light show! It's a bit of a power hog though.,positive,positive,negative,"['0.9998947381973267', '0.00010530899453442544']","['0.9999001026153564', '9.993127605412155e-05']","['0.9841169714927673', '0.015883062034845352']"
1877,"great Light , creates a nice mood lighting , easy to setup .",positive,"Great Light, creates a nice mood lighting, easy to setup. Its elegant design is also an eye-catching addition to any room.","Great light, creates a nice mood lighting, easy to setup. However, it is a bit more expensive than I expected.",positive,positive,positive,"['0.9998782873153687', '0.00012171226262580603']","['0.9998881816864014', '0.00011185983021277934']","['0.9980430603027344', '0.0019569480791687965']"
1878,The author creates wonderful images of spiritual mysteries and adventures .,positive,The author creates wonderful images of spiritual mysteries and adventures. It clearly shows the author's creative imagination and captivating storytelling abilities.,"The author creates wonderful images of spiritual mysteries and adventures. Yet, the character development seemed quite shallow and unimpressive.",positive,positive,negative,"['0.9998996257781982', '0.00010037593892775476']","['0.9998950958251953', '0.00010488447151146829']","['0.0003545730432961136', '0.999645471572876']"
1879,The lenses come in a soft case that provides good protection for them .,positive,"The lenses come in a soft case that provides good protection for them, which is great because it assures me they'll last even when I'm on the move.","The lenses come in a soft case that provides good protection for them. However, the case is too bulky to carry around conveniently.",positive,positive,negative,"['0.9984366297721863', '0.0015633075963705778']","['0.999776303768158', '0.00022366573102772236']","['0.07416749745607376', '0.9258325099945068']"
1880,Harrow has its own ancient creepy aura and provides a good setting for the story .,positive,"Harrow has its own ancient creepy aura and provides a good setting for the story, rendering it uniquely captivating and intriguing to explore.","Harrow has its own ancient creepy aura and provides a good setting for the story. However, it can feel a bit too eerie and unsettling at times.",positive,positive,negative,"['0.9998821020126343', '0.00011782971705542877']","['0.9998893737792969', '0.00011057267693104222']","['0.3133324086666107', '0.6866675615310669']"
1881,TWSBI provides a superior pen for the price,positive,TWSBI provides a superior pen for the price. It's truly a wonderful surprise that such quality can come at an affordable cost.,"TWSBI provides a superior pen for the price. However, their customer service leaves much to be desired.",positive,positive,positive,"['0.9985907673835754', '0.0014091822085902095']","['0.9998358488082886', '0.00016412315017078072']","['0.025717541575431824', '0.974282443523407']"
1882,"

 I 've made the switch because TWSBI provides a superior pen for the price .",positive,"I've made the switch because TWSBI provides a superior pen for the price. This decision wasn't hard at all, considering the smoothness and quality they offer for such a reasonable amount.","I've made the switch because TWSBI provides a superior pen for the price. However, I'm not entirely satisfied with its design.",positive,positive,negative,"['0.7162444591522217', '0.28375548124313354']","['0.9989031553268433', '0.0010968800634145737']","['0.019565461203455925', '0.9804345965385437']"
1883,The colors this film produces are fantastic .,positive,"The colors this film produces are fantastic. In fact, their vibrancy and depth truly elevate the whole viewing experience.","The colors this film produces are fantastic, but the cost of the film makes it almost not worth it.",positive,positive,negative,"['0.9999006986618042', '9.927307110046968e-05']","['0.9998993873596191', '0.00010056418977910653']","['0.0015604938380420208', '0.9984394907951355']"
1884,This provides excellent protection when packed for travel .,positive,This provides excellent protection when packed for travel. I'm relieved and impressed by just how well it shields my belongings on every trip.,"This provides excellent protection when packed for travel. However, it's incredibly heavy and not convenient to carry around.",positive,positive,negative,"['0.9989824891090393', '0.0010175281204283237']","['0.9998065829277039', '0.0001934526371769607']","['0.20206820964813232', '0.7979318499565125']"
1885,"The case not only looks cool , but it provides very good protection against falls and bumps .",positive,"The case not only looks cool, but it provides very good protection against falls and bumps. I am incredibly pleased with its quality and stylish design.","The case not only looks cool, but it provides very good protection against falls and bumps. Unfortunately, it's much heavier than I expected.",positive,positive,negative,"['0.9997249245643616', '0.0002750243875198066']","['0.999870777130127', '0.00012922835594508797']","['0.6197879314422607', '0.3802120089530945']"
1886,It provides great protection and has a built - in screen protector .,positive,"It provides great protection and has a built-in screen protector. This is truly a game-changer, guaranteeing my device's safety from any possible damage.","It provides great protection and has a built - in screen protector. Unfortunately, it makes the phone a bit bulkier than I would like.",positive,positive,negative,"['0.9890668392181396', '0.010933228768408298']","['0.9985951781272888', '0.001404828974045813']","['0.49227258563041687', '0.5077274441719055']"
1887,"It produces a great thick foam , and a decent amount for one pump , plenty to wash hands with .",positive,"It produces a great thick foam, and a decent amount for one pump, plenty to wash hands with. This makes it both economical and efficient to use, enhancing the overall washing experience.","It produces a great thick foam, and a decent amount for one pump, plenty to wash hands with. However, the scent is too overpowering for my liking.",positive,positive,negative,"['0.9996403455734253', '0.0003596500610001385']","['0.9995858073234558', '0.00041419389890506864']","['0.22516927123069763', '0.77483069896698']"
1888,Lippman develops such great characters that you want to know what happens to them .,positive,"Lippman develops such great characters that you want to know what happens to them. Her knack for storytelling is absolutely captivating, hooking you from the first page.","Lippman develops such great characters that you want to know what happens to them. However, her plot development seems to be lacking.",positive,positive,negative,"['0.9998658895492554', '0.000134145375341177']","['0.9998857975006104', '0.00011421513772802427']","['0.39917585253715515', '0.6008241176605225']"
1889,It 's thin enough that wireless charging works well through it yet it provides good protection .,positive,"It's thin enough that wireless charging works well through it yet it provides good protection. Remarkably, its sleek design doesn't compromise on safety factors.","It's thin enough that wireless charging works well through it yet it provides good protection. However, it's quite expensive for its quality.",positive,positive,negative,"['0.9963830709457397', '0.0036169481463730335']","['0.9997602105140686', '0.00023978561512194574']","['0.9268192052841187', '0.07318086177110672']"
1890,"
 Provides excellent flow to an additional faucet for filtered water at your sink .",positive,Provides excellent flow to an additional faucet for filtered water at your sink. This innovative feature makes it a standout product in the market!,"Provides excellent flow to an additional faucet for filtered water at your sink. However, the installation process was quite complicated.",positive,positive,negative,"['0.9874093532562256', '0.012590674683451653']","['0.9997149109840393', '0.0002850756573025137']","['0.8079648613929749', '0.19203509390354156']"
1891,Jennifer Jennings always creates wonderful characters ...,positive,"Jennifer Jennings always creates wonderful characters. They are not only relatable, but the depth and thought she invests into them makes her work truly commendable.","Jennifer Jennings always creates wonderful characters, but sadly, her storylines often lack depth and originality.",positive,positive,negative,"['0.9998948574066162', '0.00010514503810554743']","['0.9998939037322998', '0.00010607778676785529']","['0.013869640417397022', '0.98613041639328']"
1892,"

 All Clad provides superior heat technology for quick and even heating .",positive,All Clad provides superior heat technology for quick and even heating. No wonder their products always receive high praises for their efficiency and reliability in the kitchen.,"All Clad provides superior heat technology for quick and even heating. However, their products are quite expensive for many people.",positive,positive,negative,"['0.9986810088157654', '0.001318953582085669']","['0.9997113347053528', '0.0002886311849579215']","['0.8682609796524048', '0.13173899054527283']"
1893,All Clad provides superior heat technology for quick and even heating .,positive,"All Clad provides superior heat technology for quick and even heating. This is really an awesome feature, offering perfect results every time I cook.","All Clad provides superior heat technology for quick and even heating, but unfortunately, their products are quite expensive.",positive,positive,negative,"['0.999171257019043', '0.0008287662640213966']","['0.9998449087142944', '0.00015503512986470014']","['0.20622597634792328', '0.7937740087509155']"
